"Country","Cases.per.M","Deaths.per.M","Pop.M"
"Afghanistan",99.9014959433416,4.00736265547989,38.928346
"Albania",23632.6606775947,175.13396532139,2.877797
"Algeria",625.412703971199,13.8195113439032,43.851044
"Angola",1020.28608538261,7.11976095128769,32.866272
"Argentina",53674.3324718811,74.9406349363549,45.195774
"Armenia",25269.6117058237,803.174090008818,2.963243
"Australia",78176.8262161506,60.6669426417783,25.499884
"Azerbaijan",13323.3693425019,184.630369900831,10.139177
"Bahrain",28468.9185019761,4.7015265268942,1.701575
"Bangladesh",610.828689545822,2.80528101802409,164.689383
"Belarus",16839.9365753504,165.408675309332,9.449323
"Belgium",122917.716995626,263.511591360651,11.589623
"Bolivia",25659.1674083341,150.689354538127,11.673021
"Bosnia and Herzegovina",26548.2490804887,895.508103312008,3.280819
"Brazil",10177.1073261835,98.8053142806653,212.559417
"Bulgaria",48877.4107012432,1525.52117775992,6.948445
"Cambodia",319.936072597795,27.2744156112534,16.718965
"Cameroon",591.843633036153,11.9415970767272,26.545863
"Canada",31770.2852889636,100.550699888512,37.742154
"Chad",111.166146267861,0.669675579926876,16.425864
"Chile",14096.8909042126,99.1828868089428,19.116201
"Colombia",13961.6477373505,100.190848039668,50.882891
"Congo",1472.43057240671,27.5457780930239,5.518087
"Costa Rica",18533.5322032195,138.787519252597,5.094118
"Croatia",106742.630869076,1097.61435736092,4.105267
"Cuba",7847.26876941886,35.0501862162538,11.326616
"Dominican Republic",15082.9975543676,18.621098442004,10.84791
"Ecuador",8273.73764202048,81.108406741826,17.643054
"Egypt",898.515029217349,43.8073592532967,102.334404
"El Salvador",2982.94611409908,65.8320235021866,6.486205
"Equatorial Guinea",1937.29797538819,16.3936178932775,1.402985
"Eritrea",684.633888644354,13.2527976796889,3.546421
"Estonia",86804.343647171,448.53697791615,1.326535
"Eswatini",18718.9052582221,116.362859044066,1.160164
"Ethiopia",908.809491923652,9.76831029316865,114.963588
"Finland",40150.5580502173,110.63544088133,5.54072
"France",137017.066540208,171.524402908249,65.273511
"Gabon",5990.38339711754,42.6825487681816,2.225734
"Georgia",96640.4765706725,1328.34749710905,3.989167
"Germany",51225.4484278145,265.695304716028,83.783942
"Greece",103440.316053241,694.134367911746,10.423054
"Guatemala",4622.57183249786,115.430334109418,17.915568
"Guinea-Bissau",589.938724624632,6.09755787725718,1.968001
"Haiti",484.015474463207,11.4886804049067,11.402528
"Hungary",59079.840887769,1086.08890091054,9.660351
"India",3538.39527835993,27.1368702933506,1380.004385
"Indonesia",179.882091716286,5.08182812661349,273.523615
"Iran",5950.02325730937,105.925558108455,83.992949
"Iraq",2891.59103091894,40.3256953764651,40.222493
"Israel",98978.7459700642,47.599599562592,8.655535
"Italy",80989.4329026715,190.897310974366,60.461826
"Jamaica",10539.7635459263,173.917918172126,2.961167
"Japan",2808.49888739376,3.6133205846106,126.476461
"Jordan",28691.1844929215,216.404097015682,10.203134
"Kazakhstan",12205.1752738113,96.5558018240366,18.776707
"Kenya",1271.21726803832,6.137103334835,53.771296
"Kuwait",17974.8797057817,6.55650029000806,4.270571
"Kyrgyzstan",2195.51990705367,33.5673596512673,6.524195
"Laos",13601.7021370176,66.3866424027841,7.27556
"Lebanon",32468.2126952895,155.301229443648,6.825445
"Liberia",277.993016957772,0.395438146454867,5.057681
"Libya",8012.46694217041,156.448015889879,6.871292
"Lithuania",87383.8156051764,888.590447230254,2.722289
"Malawi",1143.02430032234,11.2389199931082,19.129952
"Malaysia",14318.8535598731,132.113950816102,32.365999
"Mali",686.095233712114,7.35772202555816,20.250833
"Mauritania",4395.37703633256,29.0343934973282,4.649658
"Mauritius",6629.35378150732,91.9979115687767,1.271768
"Mexico",6645.63487603495,151.458799611608,128.932753
"Mongolia",27668.6931296499,181.802098045017,3.27829
"Morocco",3951.09150335297,15.7678452995565,36.91056
"Mozambique",2269.33331754941,7.19874799374893,31.255435
"Myanmar",937.551691055655,19.9596396237443,54.4098
"Namibia",10563.1654863129,146.798089657032,2.540905
"Nepal",3181.74866649772,12.8359976837545,29.136808
"Netherlands",102121.451505445,173.914342634132,17.134872
"New Zealand",2208.1056639113,4.9769474017535,4.822233
"Nicaragua",281.830293782797,1.96239626094074,6.624554
"Niger",97.659138540642,3.75929848020238,24.206644
"Nigeria",211.14818464104,1.76094267850704,206.139589
"North Macedonia",27553.8621486109,624.947801018924,2.083374
"Norway",74076.0279795715,97.7635932436872,5.421241
"Pakistan",445.167089089644,3.96573280902362,220.89234
"Panama",36461.0649891408,69.2969052558342,4.314767
"Papua New Guinea",1432.54337978751,37.3308487827908,8.947024
"Peru",19813.0502458248,128.837159111526,32.971854
"Philippines",6083.42254125297,120.823779448492,109.581078
"Poland",40034.0204833664,731.056210026309,37.846611
"Portugal",102085.780814182,140.339397740977,10.196709
"Qatar",27633.9935433329,8.67738288743734,2.881053
"Romania",30430.1592119345,988.476215778702,19.237691
"Russia",20976.080344888,704.165408167949,145.934462
"Rwanda",2218.07569946707,8.95599502726097,12.952218
"Saudi Arabia",2741.72326312119,4.68204182177845,34.813871
"Senegal",597.649523913954,3.10560360183128,16.743927
"Serbia",56484.6107599185,494.31344966352,8.737371
"Sierra Leone",147.424157729808,0.501442713366695,7.976983
"Singapore",29471.4394474716,111.788336476739,5.850342
"Slovakia",113454.142231304,880.094335855721,5.459642
"Slovenia",132566.723971566,538.736604939637,2.078938
"Somalia",192.094466433553,9.75258509570935,15.893222
"South Korea",7579.50414074263,76.283638992896,51.269185
"South Sudan",400.670911604493,0.625350363708238,11.193725
"Spain",85451.2024418125,104.203253836431,46.754778
"Sri Lanka",3352.50386337916,87.0489107000997,21.413249
"Sweden",61741.1267057553,74.4608642312089,10.099265
"Switzerland",118625.747028582,165.576266646885,8.654622
"Syria",749.000409013193,34.0558623567182,17.500658
"Taiwan",75.4090341786409,0.209936063971717,23.816775
"Thailand",9016.99424604403,58.7679268322979,69.799978
"Trinidad and Tobago",37190.7440435359,1219.01724059084,1.399488
"Tunisia",9858.6814584682,72.6819267124188,11.818619
"Turkey",38754.8394387621,222.423613009615,84.339067
"Uganda",763.931585502698,6.20887074042773,45.741007
"Ukraine",29864.8901962744,963.351837877565,43.733762
"United Arab Emirates",8261.94931207043,9.20083935920906,9.890402
"United Kingdom",109924.502707929,227.381161046567,67.886011
"United States",76905.3175951754,432.519194536602,331.002651
"Uruguay",51426.8524036123,63.0446235026902,3.47373
"Uzbekistan",942.000321907875,7.64882271023902,33.469203
"Venezuela",2796.14459729483,26.2695729418475,28.43594
"Vietnam",12955.2538464733,159.998226396956,97.338579
"Yemen",38.4228989212218,6.90673401201718,29.825964
"Zambia",4959.54216598115,12.4021191305135,18.383955
"Zimbabwe",6449.13477321152,43.0601677032056,14.862924
